IGN,summonerID,Region
xinec,59177709,NA
Savage,24870713,NA
LOFS,21732468,NA
Intrepid,20650992,NA
CLOCKDAY,45495635,NA
Akunma,82759189,NA
Jia,20087970,NA
Nobody,32219917,NA
Trance,26690873,NA
NoName,38988123,NA
Arphan,327904,NA
Trowen,83752748,NA
suryD,37119464,NA
Entranced,50539313,NA
Juliostito,24558922,NA
Porpoise,24457499,NA
Crimson,23830375,NA
Theusma,50426520,NA
Soulmate,68272835,NA
Wish,597939,NA
SKT Bowser,7667926,LAN
BAKA,70061611,NA
TiP Impact,72917479,NA
Peel,84220887,NA
Nikisbrda,53895411,EUNE
Blasting,82842764,NA
zero and ten,38993755,NA
Lucky,37506346,NA
MooN,55346621,NA
Crayzee,37042807,NA
Gruhlum,18980763,EUNE
FiddleOP,51167570,NA
Nipphu,21807842,NA
ThoRax,27778405,NA
JueJue,83359592,NA
Omi,43233214,NA
LiL Bunny FuFuu,22645232,NA
kj4DqqFpMxVL,44979332,NA
Dasnyp,95908194,EUW
Minerva,35699646,NA
NaeMisa,39208709,NA
pineappleonpizza,84879145,NA
SukiM,39905824,NA
Werwer,30871695,NA
Yeluo,38061890,NA
Sencux,59849041,NA
CoCo8,3633199,LAS
YutoriMoyashi,75889250,NA
Imaqtpie,19887289,NA
Yshee,29983852,EUNE
Nerthus,28742589,NA
Severus,52393327,NA
Pururun,40289647,NA
bjergerfan76,84337576,EUW
Surender,34996966,EUNE
Tatsuy,43373906,NA
SouthWind,37232044,NA
Zhergoth,23595556,EUNE
ChuffeR,49117973,EUW
InKos,35871980,NA
Kitties,68521226,NA
CO4,20099559,NA
JoJo,36592341,NA
Spy,25737261,NA
Palhaco,60308928,NA
Krakmo,49469676,NA
Zoiren,61874515,EUNE
Waker,60729817,NA
MyticQ,22042864,NA
l am Bjerg,32265217,NA
Spookz,29509175,NA
Tibold,25156600,EUNE
BloodWater,21600556,NA
Krow,42100849,NA
JokerJ,39615495,NA
Memory,114561,NA
yarnello,65399100,NA
Gilius,83399103,NA
Wizzi,69561821,NA
Myang,45557873,NA
LaoPi,24900702,NA
Kirei,81549189,NA
GIRL STREAMER,51694888,EUNE
Malaz,44339653,NA
Choisix,40017716,NA
heavenTime,23050296,NA
Jing,21292148,NA
CMK,22210552,NA
Wuuuh,46237689,EUW
Akayso,20408134,NA
rubeN,49060060,NA
Eugene J Park,55719003,EUNE
Winter,19873955,NA
mumus1,62885731,EUNE
Guts,19459431,NA
Liquid Ezra,19732914,NA
I MY ME MINE,73209744,NA
CandyPanda,39962222,NA
Robo,17970,NA
Reje,28539501,NA
DCStar,65123063,NA
Easy,20764411,NA
Gate,21428926,NA
greatkaichamp04,29699937,NA
Swiffer,51400778,NA
Tally,26722765,NA
cesuna,19877155,NA
Shinmori,77092635,NA
Eimy,21153503,NA
Helior,31149461,NA
napraen,47443417,NA
Naryt,442477,NA
Slyv3r,19058878,NA
Soren,21421332,NA
LetMe,26302469,NA
Haelz,35349216,NA
Zantins,28887206,NA
Nono,22505822,NA
Hans sama,23643280,NA
Arin1,68010681,NA
Achuu,71198,NA
Alone,22419182,NA
ManolinGuilder,24360304,NA
NylonNylle27,94639989,EUW
Dodi,314421,NA
ReD,2640,NA
JRTSeven,19408986,NA
GuardianBanana,75881544,NA
Impaired,36279447,NA
Plumber,72839198,NA
unso,61713363,NA
Jiang,85050831,NA
Prothana,19546062,EUW
Elysia,76078,NA
C9 Meteos,44008519,NA
FZ3R0,42060215,NA
EGym,70868084,EUW
TheRaizor,22069279,EUNE
Lyumi,391086,EUNE
Waka Waka,82369192,NA
Matsukaze,45453635,NA
CrazyCaps,32248720,NA
Savoki,73731648,NA
RaidbawZ,31017320,EUW
RO0Kie,65303992,EUNE
One Called Saint,138243,NA
Zorozero,22931654,NA
Czz1,53818043,NA
WuShuang,21507731,NA
